point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,adhesion_parameter_n_per_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
23,23,0,Hertz,Advance,success,,2277434.2770002116,-4.972450795267538e-07,0.0,1.740372810234903e-09,-1.7113570141143994e-09,-8.02071376234405e-09,-0.005171306346849824,1.228334465903361e-08
24,24,0,Hertz,Advance,success,,2574840.353757646,-4.941009567917113e-07,0.0,1.3896235070986052e-09,-1.7098303471436206e-09,-7.756949651573198e-09,-0.0054973834535658175,1.2606853294039717e-08
25,25,0,Hertz,Advance,success,,2489361.9397016247,-4.917582786495845e-07,0.0,1.4834416520781644e-09,-1.6680289102706655e-09,-7.691300948762682e-09,-0.0052831278469463545,1.2428379142332485e-08
26,26,0,Hertz,Advance,success,,2457901.774867911,-4.921478419876385e-07,0.0,1.656278293671722e-09,-1.7644369311016587e-09,-7.970176136771844e-09,-0.00542500282446031,1.253142957631971e-08
27,27,0,Hertz,Advance,success,,2557397.743834554,-4.896275180347932e-07,0.0,1.483900929521631e-09,-1.834797452881776e-09,-8.118544607983157e-09,-0.005398882539133823,1.2470236383180938e-08
28,28,0,Hertz,Advance,success,,2394732.7837418774,-4.914305807257466e-07,0.0,1.7736250251691901e-09,-1.7999207983696346e-09,-8.095004667194848e-09,-0.0053781352150676495,1.2523657762600286e-08
29,29,0,Hertz,Advance,success,,2341807.582979858,-4.914262800030554e-07,0.0,1.2397977044005693e-09,-1.7336589281264038e-09,-7.925166473120442e-09,-0.005176966056185569,1.2424762857837611e-08
30,30,0,Hertz,Advance,success,,2407979.569707394,-4.911558785538432e-07,0.0,9.459072587157337e-10,-1.8349855975588148e-09,-7.412582362296267e-09,-0.004998564591120581,1.229576885333508e-08
31,31,0,Hertz,Advance,success,,2360140.316460418,-4.924570256487903e-07,0.0,1.6853988020314042e-09,-1.6975724175666327e-09,-7.058302490934398e-09,-0.005198242224832748,1.247803741121994e-08
32,32,0,Hertz,Advance,success,,2463747.2828966575,-4.938090755977503e-07,0.0,1.3375104748090487e-09,-1.6612329298301148e-09,-7.577969718913502e-09,-0.00541107028569668,1.2607452113941567e-08
33,33,0,Hertz,Advance,success,,2125597.8776723417,-4.980172916586708e-07,0.0,2.716902348650088e-09,-1.5581008198601822e-09,-7.834249775649655e-09,-0.005371399963271992,1.259058119158729e-08
34,34,0,Hertz,Advance,success,,2341170.84188739,-4.916716982019761e-07,0.0,1.820495585581715e-09,-1.4775955629568e-09,-8.168531325700604e-09,-0.0055681828862678895,1.2713881589059566e-08
35,35,0,Hertz,Advance,success,,2135500.212943802,-4.952595565757033e-07,0.0,1.0694113739847342e-09,-1.7941116108588108e-09,-7.566983310977119e-09,-0.005471955828837076,1.2638184838445364e-08
36,36,0,Hertz,Advance,success,,2396133.2714354177,-4.926920948168279e-07,0.0,2.0351555630663928e-09,-1.5916271003854861e-09,-7.689321243432734e-09,-0.005419840556383743,1.2625578717321926e-08
37,37,0,Hertz,Advance,success,,2126630.155751096,-4.957933618798175e-07,0.0,1.5360457884106415e-09,-1.6283423893569284e-09,-7.780308167283557e-09,-0.005658557933313902,1.2790043555086045e-08
38,38,0,Hertz,Advance,success,,2107402.596712539,-4.946425166511703e-07,0.0,1.0018061219945225e-09,-1.6354287293476092e-09,-7.351547871361671e-09,-0.005205484190577937,1.248709297549688e-08
39,39,0,Hertz,Advance,success,,2236814.9206547556,-4.907285165167959e-07,0.0,9.677642125369337e-10,-1.6196626168775548e-09,-7.707059324405613e-09,-0.005189475791774021,1.24870427433516e-08
40,40,0,Hertz,Advance,success,,2316796.7251281505,-4.929153080833542e-07,0.0,1.0547605801288285e-09,-1.6778306364622773e-09,-7.567127258120729e-09,-0.005254032884234442,1.2622546373332489e-08
41,41,0,Hertz,Advance,success,,2180603.271958317,-4.945984006401286e-07,0.0,1.6766031885351358e-09,-1.7231569061555195e-09,-7.63463508675013e-09,-0.005236561766351847,1.2619302094353186e-08
42,42,0,Hertz,Advance,success,,2348912.2339018653,-4.9208185929013e-07,0.0,1.0085650317957865e-09,-1.6744836530473126e-09,-7.86040122608498e-09,-0.0055368485222665065,1.2787374283080404e-08
43,43,0,Hertz,Advance,success,,2178319.863063369,-4.968880315833467e-07,0.0,1.3211269793953872e-09,-1.7595634109341543e-09,-7.437704803923075e-09,-0.0055263702479762785,1.2767520732040876e-08
44,44,0,Hertz,Advance,success,,1952832.7162084612,-4.96908922342372e-07,0.0,1.6386041023700472e-09,-1.827195881456561e-09,-8.097236120999524e-09,-0.005466135832013074,1.2799790176550703e-08
45,45,0,Hertz,Advance,success,,2266287.328691444,-4.951707175497351e-07,0.0,1.4923658736927651e-09,-1.7440667545626974e-09,-8.232331487139688e-09,-0.005429651220878808,1.275349768138622e-08
46,46,0,Hertz,Advance,success,,2090726.8373880996,-4.99001810492091e-07,0.0,1.462208040556916e-09,-1.55297792257938e-09,-8.088888759043492e-09,-0.005376224778364934,1.2659353947790662e-08
47,47,0,Hertz,Advance,success,,2093678.559663504,-4.98076344309739e-07,0.0,1.3025272265629596e-09,-1.4305741202612626e-09,-7.94468097385417e-09,-0.00525998794142712,1.262223846580491e-08
48,48,0,Hertz,Advance,success,,2037509.088506368,-5.020501112635355e-07,0.0,1.942400583805054e-09,-1.321493108642831e-09,-8.033223675194802e-09,-0.005582807158262278,1.2817114534760985e-08
49,49,0,Hertz,Advance,success,,2180858.46405486,-4.997178824353984e-07,0.0,2.0401586369744933e-09,-1.3147234116948408e-09,-8.301396245290789e-09,-0.005087538489928693,1.2545216718289806e-08
50,50,0,Hertz,Advance,success,,1862200.0178751114,-5.044408454415282e-07,0.0,1.926800079945683e-09,-1.3867604352632368e-09,-8.581895240835252e-09,-0.0051809419078634724,1.2620533548735795e-08
51,51,0,Hertz,Advance,success,,1909787.2853875156,-4.995134726858294e-07,0.0,1.6705641758421922e-09,-1.4867426532408026e-09,-7.39985507184706e-09,-0.005614948147883342,1.2886435233828018e-08
52,52,0,Hertz,Advance,success,,1856384.1682384557,-4.966558113534414e-07,0.0,1.862254799099015e-09,-1.367060520031136e-09,-7.24301009224375e-09,-0.005587677990065428,1.2935003444125147e-08
53,53,0,Hertz,Advance,success,,1961755.7730043018,-4.934308744410229e-07,0.0,1.6414636489732593e-09,-1.5119431491020465e-09,-7.186142629477446e-09,-0.005339825404229822,1.2767149945099258e-08
54,54,0,Hertz,Advance,success,,1963635.4000478939,-4.912934999017865e-07,0.0,1.188190264292766e-09,-1.6952037598630841e-09,-7.818164705231256e-09,-0.00496012502388878,1.2512647355519183e-08
55,55,0,Hertz,Advance,success,,2112976.4469631924,-4.915058401963025e-07,0.0,1.658816760088351e-09,-1.6487118346102513e-09,-7.73455951402499e-09,-0.0050344258249486505,1.2553630769339352e-08
56,56,0,Hertz,Advance,success,,2193997.8157487474,-4.854307413956737e-07,0.0,1.7890713166347172e-09,-1.8013990944241694e-09,-7.437384442548695e-09,-0.005474879653573282,1.2837644827266068e-08
57,57,0,Hertz,Advance,success,,2273397.3096379526,-4.863374969486792e-07,0.0,2.1249775195971535e-09,-1.5335256220284912e-09,-8.099414519962064e-09,-0.005458049461318494,1.2833546898678624e-08
58,58,0,Hertz,Advance,success,,1902168.6346141282,-4.895787508698885e-07,0.0,2.1991143506493298e-09,-1.5801305724255604e-09,-7.401126505651896e-09,-0.0053367023049548075,1.2775323735060658e-08
59,59,0,Hertz,Advance,success,,1670151.033783536,-4.934602713407985e-07,0.0,1.959175491164824e-09,-1.5633358439852259e-09,-7.737786130644483e-09,-0.005845214587717799,1.3076088510969033e-08
60,60,0,Hertz,Advance,success,,2140781.4930188186,-4.847773958137785e-07,0.0,2.039901636905076e-09,-1.6428083326224951e-09,-7.512327345915254e-09,-0.0055475820715365455,1.2910606729084174e-08
61,61,0,Hertz,Advance,success,,2241698.737138548,-4.818980427022064e-07,0.0,9.711234337985679e-10,-1.7009192484499697e-09,-7.74913501878812e-09,-0.005610105528702662,1.2961663981037258e-08
62,62,0,Hertz,Advance,success,,2079785.3384469007,-4.834751906158488e-07,0.0,1.4354981626067306e-09,-1.7060242932330877e-09,-7.559389633486037e-09,-0.005578183762392374,1.2967158865133484e-08
63,63,0,Hertz,Advance,success,,1985135.3659393967,-4.82866123702428e-07,0.0,1.7414113605833999e-09,-1.5612260471397329e-09,-7.637670530913736e-09,-0.0052589281256671585,1.2774003570005804e-08
64,64,0,Hertz,Advance,success,,2080473.744554039,-4.80749983153171e-07,0.0,1.604358706452574e-09,-1.5611886760106e-09,-7.686241573227e-09,-0.005616006266999111,1.2979976134956274e-08
65,65,0,Hertz,Advance,success,,2253638.151381625,-4.784579152253485e-07,0.0,1.1572595799916616e-09,-1.7507166621768217e-09,-7.269289479881027e-09,-0.005689679238881881,1.3047251524267914e-08
66,66,0,Hertz,Advance,success,,2044139.019937002,-4.820079739198506e-07,0.0,1.6985849914941198e-09,-1.6861482681947678e-09,-7.158093220486957e-09,-0.005386062348282108,1.2878911873114477e-08
67,67,0,Hertz,Advance,success,,2467111.6572519336,-4.7537359349643723e-07,0.0,1.4807978230089122e-09,-1.6397634957310528e-09,-7.309211365041443e-09,-0.005300919005225128,1.2794793287144523e-08
68,68,0,Hertz,Advance,success,,2491532.3512791246,-4.744149734105759e-07,0.0,1.0236094889850814e-09,-1.7982766837166613e-09,-7.241797407830175e-09,-0.005404617971568887,1.2839220867524036e-08
69,69,0,Hertz,Advance,success,,2164717.609299706,-4.747774850180877e-07,0.0,1.1632497866695523e-09,-1.6908390054526032e-09,-7.742433055183253e-09,-0.005296308166950491,1.2802651523883563e-08
70,70,0,Hertz,Advance,success,,2280396.9764505294,-4.769577910873923e-07,0.0,1.225291223032799e-09,-1.7847755176124619e-09,-7.314827404007144e-09,-0.005431240324743339,1.291083643927294e-08
71,71,0,Hertz,Advance,success,,2536636.4360154606,-4.765422812146809e-07,0.0,1.8041774833486383e-09,-1.5307372831960628e-09,-7.4499613680860566e-09,-0.005639749271477892,1.3057527352553666e-08
72,72,0,Hertz,Advance,success,,2488415.151081579,-4.806261609253614e-07,0.0,1.2015297365495767e-09,-1.5354378576552507e-09,-7.527250427457163e-09,-0.005429875141988689,1.2933190243817776e-08
73,73,0,Hertz,Advance,success,,2356718.559015053,-4.822038060098935e-07,0.0,1.277780930028849e-09,-1.4452248417523835e-09,-7.338054097964939e-09,-0.005272461000932076,1.2861127315714805e-08
74,74,0,Hertz,Advance,success,,2486480.5524567785,-4.783921521700728e-07,0.0,1.2575738447155033e-09,-1.508395383959492e-09,-7.184674866205883e-09,-0.005590534855978933,1.3050344227208546e-08
75,75,0,Hertz,Advance,success,,2599673.641210468,-4.777223799670653e-07,0.0,1.1242508455490933e-09,-1.5293140301319359e-09,-7.684826725888143e-09,-0.00546566554186366,1.2954890643006156e-08
76,76,0,Hertz,Advance,success,,2011961.730675342,-4.875129664881183e-07,0.0,9.604738928870209e-10,-1.5607046260244578e-09,-7.2868508788170764e-09,-0.005540191958831352,1.2992957460812226e-08
77,77,0,Hertz,Advance,success,,2181845.7577020107,-4.835561458628925e-07,0.0,1.3533372215779273e-09,-1.491474863208205e-09,-7.480647210392657e-09,-0.005679786588570442,1.3116042524218315e-08
78,78,0,Hertz,Advance,success,,2187154.4473499605,-4.826316159725762e-07,0.0,1.0777553864219109e-09,-1.6213092390757071e-09,-7.159477523244711e-09,-0.0054248698147570185,1.2961818503285698e-08
79,79,0,Hertz,Advance,success,,2286518.189421983,-4.783311566345843e-07,0.0,1.2235367661903363e-09,-1.7293402483136083e-09,-7.604803340399994e-09,-0.00518003975688315,1.2814540817047086e-08
80,80,0,Hertz,Advance,success,,2228358.6541548846,-4.7650315932578945e-07,0.0,1.4164379380261955e-09,-1.6937247047193577e-09,-7.640394518106677e-09,-0.005446032128296099,1.2995622115868821e-08
81,81,0,Hertz,Advance,success,,2077953.4986716157,-4.770737781890876e-07,0.0,1.439666465154137e-09,-1.7368410240149715e-09,-7.533142643725172e-09,-0.005556201449375007,1.3061901375134759e-08
82,82,0,Hertz,Advance,success,,2132665.682366888,-4.753888984448218e-07,0.0,1.7242921393427492e-09,-1.7601792459899376e-09,-7.904493404460195e-09,-0.005462706771019269,1.3048065623826684e-08
83,83,0,Hertz,Advance,success,,2408990.72108425,-4.718014528344476e-07,0.0,1.511135313297872e-09,-1.822387905073903e-09,-7.865133276976236e-09,-0.005284833555756968,1.2894165157178983e-08
84,84,0,Hertz,Advance,success,,2462763.8669300713,-4.7202952189814433e-07,0.0,1.2179120273985698e-09,-1.752030835274346e-09,-7.674044093980185e-09,-0.00523172634768229,1.2846812420050437e-08
85,85,0,Hertz,Advance,success,,2586771.953924969,-4.705460143759497e-07,0.0,1.59307875359383e-09,-1.736742681131253e-09,-7.526551999528414e-09,-0.0054843996971405285,1.3020833313650395e-08
86,86,0,Hertz,Advance,success,,2166313.714450521,-4.777123615624936e-07,0.0,1.0462532162471478e-09,-1.6825153552857396e-09,-7.265288274889132e-09,-0.0057386758783991255,1.3167085341732645e-08
87,87,0,Hertz,Advance,success,,2159716.254229308,-4.79177753397031e-07,0.0,1.4036958264207472e-09,-1.7725146664102796e-09,-7.80724449845079e-09,-0.005286148482995091,1.2905539699738368e-08
88,88,0,Hertz,Advance,success,,2224337.0913527436,-4.778398737859014e-07,0.0,8.394876758058847e-10,-1.7994591853704258e-09,-7.697543528873412e-09,-0.005273011290306047,1.2864538910864526e-08
89,89,0,Hertz,Advance,success,,2162516.1081560627,-4.787817297272535e-07,0.0,1.2487061076297098e-09,-1.6954835675462494e-09,-7.514868542654822e-09,-0.005605655264781667,1.3111753719672052e-08
90,90,0,Hertz,Advance,success,,2253352.0734991133,-4.77547059587385e-07,0.0,1.7538416258080691e-09,-1.67956252479835e-09,-7.425026921616853e-09,-0.005544747572644363,1.31137755319707e-08
91,91,0,Hertz,Advance,success,,2370300.309981796,-4.7597163886944497e-07,0.0,1.6141563228295848e-09,-1.5937626369407627e-09,-7.669270282123645e-09,-0.005516566970468388,1.314257421256111e-08
92,92,0,Hertz,Advance,success,,2196823.8819543254,-4.77982542211817e-07,0.0,1.4494109924660021e-09,-1.6694154706517649e-09,-7.590832845141739e-09,-0.005482468620666648,1.3071112586417292e-08
93,93,0,Hertz,Advance,success,,2069340.3221732827,-4.822647091754502e-07,0.0,9.186347938493463e-10,-1.614469471960567e-09,-7.600891568704148e-09,-0.005541437472229758,1.3161096626958563e-08
94,94,0,Hertz,Advance,success,,2091506.392063129,-4.840926553702522e-07,0.0,1.3823190861647115e-09,-1.4521974386982702e-09,-8.039424434531129e-09,-0.005683836999354153,1.3209598098326914e-08
95,95,0,Hertz,Advance,success,,1974547.7302356688,-4.881685584244197e-07,0.0,1.5653289524697457e-09,-1.4116311067490898e-09,-7.641538129801243e-09,-0.005930938539824508,1.3400640081695097e-08
96,96,0,Hertz,Advance,success,,1983414.066216524,-4.904439661547849e-07,0.0,1.4849743709547465e-09,-1.2460465118746177e-09,-7.897793723768442e-09,-0.0057879753718176165,1.3363151135918679e-08
97,97,0,Hertz,Advance,success,,1826609.081170414,-4.931286499221688e-07,0.0,1.4281972490309644e-09,-1.3801969828555067e-09,-7.373196207312916e-09,-0.005434598899099275,1.308472672638875e-08
98,98,0,Hertz,Advance,success,,1868573.6632855579,-4.909441321112932e-07,0.0,9.974949786689488e-10,-1.4525506598832384e-09,-7.494257989972217e-09,-0.0055933299453794485,1.3256336205233803e-08
99,99,0,Hertz,Advance,success,,1943788.7580602597,-4.90570316015663e-07,0.0,1.5538104304194015e-09,-1.4428205996938482e-09,-7.557969161334335e-09,-0.005519049916867755,1.318999876422267e-08
100,100,0,Hertz,Advance,success,,1998217.7769831163,-4.903639755977439e-07,0.0,1.1921879515329474e-09,-1.5339960924929938e-09,-7.725229017893042e-09,-0.005303814679073477,1.3034859329661643e-08
101,101,0,Hertz,Advance,success,,1953842.0125521077,-4.903091885111478e-07,0.0,2.036260742604623e-09,-1.506048718318137e-09,-8.289429215343282e-09,-0.005494347959100114,1.319938924904006e-08
102,102,0,Hertz,Advance,success,,2019141.2259343148,-4.939948946937799e-07,0.0,1.2141275487853027e-09,-1.435744736133983e-09,-7.657762754620245e-09,-0.005330067470943796,1.3067635742073774e-08
103,103,0,Hertz,Advance,success,,1861132.6160411725,-4.971494898283588e-07,0.0,1.2628308768198984e-09,-1.385508680039262e-09,-7.81013842937492e-09,-0.005300547291734595,1.303554207643777e-08
104,104,0,Hertz,Advance,success,,1965902.9590254861,-4.961955379793857e-07,0.0,1.2537890013949003e-09,-1.3889311192749e-09,-7.494075839650084e-09,-0.005469111218084613,1.3182597120238337e-08
105,105,0,Hertz,Advance,success,,2174470.3494157144,-4.951749611376158e-07,0.0,8.857131034501131e-10,-1.3348805737141883e-09,-7.903667214089864e-09,-0.0053007461518550245,1.307687499316747e-08
106,106,0,Hertz,Advance,success,,1887829.1302409323,-4.994313745480966e-07,0.0,1.4478920223189162e-09,-1.3851292439547293e-09,-7.91034386161744e-09,-0.005601421043687457,1.3243652061244419e-08
107,107,0,Hertz,Advance,success,,1972590.2134713656,-4.998162126558696e-07,0.0,1.2717257261525846e-09,-1.4136604619787445e-09,-7.471659239726371e-09,-0.005926828505622777,1.3521925679367907e-08
108,108,0,Hertz,Advance,success,,2062598.9482314202,-5.001905828130436e-07,0.0,1.219310005792426e-09,-1.4398488970054554e-09,-7.489586490956942e-09,-0.005685862937940886,1.339918634770356e-08
109,109,0,Hertz,Advance,success,,1984040.2375999196,-5.017007582202779e-07,0.0,1.5763736673060386e-09,-1.4278836170775205e-09,-7.198003670780086e-09,-0.005653187722781031,1.3328941816176524e-08
110,110,0,Hertz,Advance,success,,1844234.3287403034,-5.088485657969656e-07,0.0,1.731606348393981e-09,-1.2291701820518397e-09,-7.479604398583648e-09,-0.005556324127761499,1.3285684180326911e-08
111,111,0,Hertz,Advance,success,,1762264.5330372523,-5.122709169780569e-07,0.0,2.380043143885843e-09,-1.1802332289779345e-09,-7.695081897607147e-09,-0.0054176469355653655,1.3221655449548956e-08
112,112,0,Hertz,Advance,success,,1860060.2236533437,-5.114006922489308e-07,0.0,1.9411944605940646e-09,-1.1320020604024938e-09,-7.7130662003542e-09,-0.0055000775696087975,1.3286077288869918e-08
113,113,0,Hertz,Advance,success,,1979685.1290988005,-5.123634894798324e-07,0.0,2.355159264234844e-09,-1.1538506668406717e-09,-8.232482763273104e-09,-0.0058095433226885715,1.3464834955688043e-08
114,114,0,Hertz,Advance,success,,1947876.7085539838,-5.118838712942643e-07,0.0,1.7572559441503058e-09,-1.1589661855225855e-09,-7.745280979362912e-09,-0.005471414808649236,1.3305363306313511e-08
115,115,0,Hertz,Advance,success,,2014127.6032964503,-5.132757694180912e-07,0.0,2.8297463741142725e-09,-1.0675183557559799e-09,-7.983304500586955e-09,-0.005700050046907826,1.3428583272075203e-08
116,116,0,Hertz,Advance,success,,2046748.174584115,-5.122932751147726e-07,0.0,1.942968684936936e-09,-1.1428901786383196e-09,-7.985870809042847e-09,-0.005655074226897043,1.3351724300783754e-08
117,117,0,Hertz,Advance,success,,2006513.7203923012,-5.133526053849536e-07,0.0,2.1547385303647418e-09,-1.1265232145994786e-09,-8.399029808198737e-09,-0.005690767607228319,1.3358467816290129e-08
118,118,0,Hertz,Advance,success,,2134864.828051672,-5.146565515787146e-07,0.0,2.485588571430893e-09,-1.1095558113028589e-09,-8.319135311172355e-09,-0.00549981761967204,1.329104430246017e-08
119,119,0,Hertz,Advance,success,,2237755.3544705566,-5.129165867264761e-07,0.0,2.2599083885272806e-09,-1.1721920949348171e-09,-1.0805982123304585e-08,-0.005361689135847385,1.3224075489021579e-08
120,120,0,Hertz,Advance,success,,2179586.49653082,-5.16020583646292e-07,0.0,2.5593818461483167e-09,-1.0015501809393613e-09,-8.982151374919875e-09,-0.005552349874545562,1.3322558252009482e-08
121,121,0,Hertz,Advance,success,,2307594.2098767166,-5.168241755992606e-07,0.0,2.8585245630750144e-09,-9.439290622130438e-10,-9.023750343081464e-09,-0.005702662173175891,1.3426257812675287e-08
122,122,0,Hertz,Advance,success,,2297562.3622908005,-5.198598244006203e-07,0.0,3.4861680720144636e-09,-9.383593637363267e-10,-9.098481509513202e-09,-0.005411661708708637,1.3181596356945648e-08
123,123,0,Hertz,Advance,success,,2456448.04353489,-5.187509209583973e-07,0.0,3.2137305140992323e-09,-9.082130217088682e-10,-9.267944827273124e-09,-0.005536686215967863,1.3300843162780761e-08
124,124,0,Hertz,Advance,success,,2507760.586570077,-5.188280314955757e-07,0.0,2.986022325640948e-09,-8.933727426259691e-10,-8.934730213331415e-09,-0.00569313052358029,1.3486086527867733e-08
125,125,0,Hertz,Advance,success,,2461847.5834297664,-5.200501768087532e-07,0.0,3.017142783435527e-09,-9.22557107231717e-10,-9.880497458004202e-09,-0.005771334343828532,1.35024960458389e-08
126,126,0,Hertz,Advance,success,,2447738.037633103,-5.211324326629039e-07,0.0,3.003555360498454e-09,-9.13289702677495e-10,-9.58232207005504e-09,-0.0054142629537089525,1.322618293042493e-08
127,127,0,Hertz,Advance,success,,2393631.903587621,-5.202575404985759e-07,0.0,2.6651413502983464e-09,-9.115643565552453e-10,-9.880795449918845e-09,-0.005384909364631954,1.3261154931671479e-08
128,127,1,Hertz,Advance,success,,2481857.2699078973,-5.181371291599385e-07,0.0,3.3002380547911335e-09,-9.304108836630338e-10,-9.068469059602649e-09,-0.005519831620616505,1.3382878937021396e-08
129,126,1,Hertz,Advance,success,,2345335.6809529695,-5.197782454801475e-07,0.0,2.955949613890912e-09,-9.235974161486156e-10,-9.231506453802311e-09,-0.005650173757826443,1.3395819492547589e-08
130,125,1,Hertz,Advance,success,,2414459.229164468,-5.184143192438481e-07,0.0,2.873488073133856e-09,-8.962077481685642e-10,-9.704509910904308e-09,-0.0056922761591257625,1.3453998992588332e-08
131,124,1,Hertz,Advance,success,,2328482.0818831082,-5.171814941336388e-07,0.0,2.686112445160696e-09,-9.605224827367943e-10,-9.071857234908637e-09,-0.005890258645310256,1.3526844008812411e-08
132,123,1,Hertz,Advance,success,,2405558.9292602856,-5.161021767099335e-07,0.0,2.1743684877966062e-09,-9.146723011545049e-10,-9.261835126154539e-09,-0.005561246257814178,1.3340196997030017e-08
133,122,1,Hertz,Advance,success,,2275312.2809753995,-5.166426747621122e-07,0.0,2.4437131024420574e-09,-9.643494618725952e-10,-8.968820796447747e-09,-0.005772643021404938,1.3460961296952891e-08
134,121,1,Hertz,Advance,success,,2244209.045836834,-5.143190265727962e-07,0.0,2.5683326507084343e-09,-1.0738734684570384e-09,-8.943466826206785e-09,-0.005570394190924785,1.3311742879812485e-08
135,120,1,Hertz,Advance,success,,2059748.723643961,-5.150705344742046e-07,0.0,2.7193330416244118e-09,-1.0834243339289818e-09,-8.680225040033323e-09,-0.005441811723900769,1.31772113192234e-08
